	Location	BHK	Furnishing	Sq.ft	Old(years)	Floor	Price
37	Bommanahalli	3	1	3000	1	3	28000
43	Bommanahalli	3	1	1650	10	0	18000
12	Whitefield	2	0	1000	5	3	16400
8	Whitefield	3	0	1600	1	9	27000
9	Whitefield	2	1	1200	5	1	20000
11	Whitefield	3	1	1760	5	8	39500
5	Whitefield	3	1	1870	10	3	35000
15	Whitefield	3	0	2200	1	10	42000
0	Whitefield	3	0	2100	1	7	28000
16	Whitefield	3	0	1704	5	13	35000
1	Whitefield	2	0	1326	1	3	21000
12	Whitefield	2	0	1000	5	3	16400
7	Whitefield	2	0	1088	5	1	14000
45	Bommanahalli	3	0	1744	1	2	22000
6	Whitefield	2	0	1060	5	1	16000
25	Bommanahalli	2	0	950	5	1	14000
20	Whitefield	3	0	3155	1	1	45000
37	Bommanahalli	3	1	3000	1	3	28000
18	Whitefield	2	0	1280	5	3	23000
20	Whitefield	3	0	3155	1	1	45000
11	Whitefield	3	1	1760	5	8	39500
42	Bommanahalli	2	0	1033	5	0	16500
28	Bommanahalli	2	0	1135	10	2	16000
29	Bommanahalli	3	1	1471	10	3	21000
14	Whitefield	2	0	1000	1	3	18000
4	Whitefield	3	0	2292	5	12	39000
23	Whitefield	2	0	1290	1	10	26000
23	Whitefield	2	0	1290	1	10	26000
41	Bommanahalli	2	0	1089	5	2	15500
49	Bommanahalli	3	1	1250	1	1	20000
30	Bommanahalli	2	1	1089	5	2	15500
32	Bommanahalli	2	1	1300	5	3	20000
22	Whitefield	3	0	2180	1	11	35000
13	Whitefield	2	0	1060	1	1	17000
41	Bommanahalli	2	0	1089	5	2	15500
9	Whitefield	2	1	1200	5	1	20000
7	Whitefield	2	0	1088	5	1	14000
22	Whitefield	3	0	2180	1	11	35000
1	Whitefield	2	0	1326	1	3	21000
0	Whitefield	3	0	2100	1	7	28000
17	Whitefield	2	0	1568	1	3	28000
8	Whitefield	3	0	1600	1	9	27000
24	Whitefield	2	1	1600	5	4	24000
13	Whitefield	2	0	1060	1	1	17000
47	Bommanahalli	2	1	1089	5	2	15500
42	Bommanahalli	2	0	1033	5	0	16500
8	Whitefield	3	0	1600	1	9	27000
30	Bommanahalli	2	1	1089	5	2	15500
7	Whitefield	2	0	1088	5	1	14000
3	Whitefield	3	1	1768	5	11	30000
6	Whitefield	2	0	1060	5	1	16000
21	Whitefield	2	1	1245	5	1	25000
49	Bommanahalli	3	1	1250	1	1	20000
3	Whitefield	3	1	1768	5	11	30000
4	Whitefield	3	0	2292	5	12	39000
24	Whitefield	2	1	1600	5	4	24000
49	Bommanahalli	3	1	1250	1	1	20000
43	Bommanahalli	3	1	1650	10	0	18000
12	Whitefield	2	0	1000	5	3	16400
26	Bommanahalli	2	1	1200	5	4	19000
16	Whitefield	3	0	1704	5	13	35000
45	Bommanahalli	3	0	1744	1	2	22000
41	Bommanahalli	2	0	1089	5	2	15500
18	Whitefield	2	0	1280	5	3	23000
15	Whitefield	3	0	2200	1	10	42000
0	Whitefield	3	0	2100	1	7	28000
4	Whitefield	3	0	2292	5	12	39000
25	Bommanahalli	2	0	950	5	1	14000
47	Bommanahalli	2	1	1089	5	2	15500
34	Bommanahalli	2	0	1251	5	3	19500
23	Whitefield	2	0	1290	1	10	26000
7	Whitefield	2	0	1088	5	1	14000
